nome_repositorio,idade_anos,total_releases,status_rq21,analisado
starship/starship,7.38,141,ok,true
FiloSottile/mkcert,8.15,14,ok,true
termux/termux-app,10.82,95,ok,true
rclone/rclone,12.43,131,ok,true
meilisearch/meilisearch,8.32,330,ok,true
pathwaycom/llm-app,3.09,0,ok,true
penpot/penpot,10.64,85,ok,true
rust-unofficial/awesome-rust,12.09,0,ok,true
mvanhorn/last30days-skill,0.57,41,ok,true
rails/rails,18.35,168,ok,true
tiimgreen/github-cheat-sheet,12.35,0,ok,true
pmndrs/zustand,7.36,105,ok,true
angular/angular.js,16.62,0,ok,true
MemPalace/mempalace,0.38,15,ok,true
FoundationAgents/OpenManus,1.45,3,ok,true
ultralytics/yolov5,6.25,10,ok,true
h5bp/html5-boilerplate,16.57,34,ok,true
scutan90/DeepLearning-500-questions,8.15,0,ok,true
go-gitea/gitea,9.8,235,ok,true
deepfakes/faceswap,8.67,5,ok,true
zylon-ai/private-gpt,3.3,14,ok,true
crewAIInc/crewAI,2.81,231,ok,true
karpathy/nanochat,0.85,0,ok,true
wasabeef/awesome-android-ui,11.65,0,ok,true
Textualize/rich,6.77,177,ok,true
appwrite/appwrite,7.36,132,ok,true
FuelLabs/fuel-core,5.98,130,ok,true
soimort/you-get,14,123,ok,true
remotion-dev/remotion,6.15,672,ok,true
BerriAI/litellm,3.07,1442,ok,true
ageitgey/face_recognition,9.46,2,ok,true
remix-run/react-router,12.26,344,ok,true
golang-standards/project-layout,8.94,0,ok,true
makeplane/plane,3.75,63,ok,true
Zie619/n8n-workflows,1.26,1,ok,true
laurent22/joplin,9.59,417,ok,true
jellyfin/jellyfin,7.69,112,ok,true
gatsbyjs/gatsby,11.25,158,ok,true
azl397985856/leetcode,8.39,40,ok,true
Raphire/Win11Debloat,5.81,37,ok,true
usestrix/strix,1.04,26,ok,true
firstcontributions/first-contributions,9.91,0,ok,true
typst/typst,6.9,30,ok,true
FlowiseAI/Flowise,3.39,85,ok,true
twentyhq/twenty,3.72,102,ok,true
AntonOsika/gpt-engineer,3.31,21,ok,true
PowerShell/PowerShell,10.6,214,ok,true
romkatv/powerlevel10k,7.48,33,ok,true
ngosang/trackerslist,10.32,0,ok,true
jingyaogong/minimind,2.06,2,ok,true
TryGhost/Ghost,13.29,1000,ok,true
facebookresearch/segment-anything,3.41,0,ok,true
WerWolv/ImHex,5.77,82,ok,true
wagoodman/dive,8.27,28,ok,true
lencx/ChatGPT,3.7,34,ok,true
maybe-finance/maybe,2.63,28,ok,true
psf/requests,15.51,19,ok,true
vuejs/core,8.19,292,ok,true
ElemeFE/element,9.96,145,ok,true
agalwood/Motrix,7.67,29,ok,true
odoo/odoo,12.27,0,ok,true
google/material-design-icons,11.86,16,ok,true
mozilla/pdf.js,15.32,88,ok,true
necolas/normalize.css,15.29,0,ok,true
freqtrade/freqtrade,9.26,116,ok,true
JetBrains/kotlin,14.51,300,ok,true
chinese-poetry/chinese-poetry,9.96,1,ok,true
vsouza/awesome-ios,12.11,0,ok,true
ggml-org/whisper.cpp,3.9,38,ok,true
aaif-goose/goose,1.99,146,ok,true
microsoft/VibeVoice,0.98,0,ok,true
dockur/windows,2.6,126,ok,true
lyswhut/lx-music-desktop,7.01,113,ok,true
sickcodes/Docker-OSX,6.21,0,ok,true
hesreallyhim/awesome-claude-code,1.33,0,ok,true
ionic-team/ionic-framework,13,950,ok,true
jesseduffield/lazydocker,7.26,47,ok,true
lllyasviel/Fooocus,3.03,21,ok,true
prettier/prettier,9.72,144,ok,true
xai-org/grok-1,2.42,0,ok,true
etcd-io/etcd,13.12,292,ok,true
bmad-code-org/BMAD-METHOD,1.35,39,ok,true
VoltAgent/awesome-openclaw-skills,0.56,0,ok,true
google/guava,12.22,60,ok,true
anthropics/claude-cookbooks,3.01,0,ok,true
dkhamsing/open-source-ios-apps,11.56,37,ok,true
run-llama/llama_index,3.79,433,ok,true
expo/expo,10.01,0,ok,true
Avik-Jain/100-Days-Of-ML-Code,8.12,0,ok,true
jekyll/jekyll,17.83,112,ok,true
dbeaver/dbeaver,10.83,254,ok,true
charlax/professional-programming,10.78,0,ok,true
poteto/hiring-without-whiteboards,9.43,0,ok,true
DefinitelyTyped/DefinitelyTyped,13.87,1,ok,true
ethereum/go-ethereum,12.65,232,ok,true
diegosouzapw/OmniRoute,0.51,278,ok,true
justjavac/wechat-miniapp-radar,9.91,0,ok,true
Semantic-Org/Semantic-UI,13.36,154,ok,true
cypress-io/cypress,11.46,402,ok,true
jamiepine/voicebox,0.56,25,ok,true
CherryHQ/cherry-studio,2.24,277,ok,true
bannedbook/fanqiang,11.6,3,ok,true
nlohmann/json,13.13,45,ok,true
mastodon/mastodon,10.49,360,ok,true
TanStack/query,6.94,2267,ok,true
